Data,Time,Date
"80 00 0B 10 11 25 10 25 00 00 00 00 10 25 11 25 00 00 00 00 8D C0 80 00 0B 04 C6 4B C6 0A 8D C0 ",14:22:41,7/18/2019
No bytes available,14:22:41,7/18/2019
"AA 55 C0 80 00 0B 10 11 25 10 25 00 00 00 00 10 41 11 41 00 00 00 00 55 C0 80 00 0B 04 C6 4B C6 0A 8D C0 ",14:27:12,7/18/2019
No bytes available,14:27:12,7/18/2019
