Data,Time,Date
"80 00 0B 10 11 41 10 41 00 00 00 00 10 41 11 41 00 00 00 00 1D C0 80 00 0B 04 36 23 36 64 7C C0 ",10:24:15,8/19/2019
No bytes available,10:24:15,8/19/2019
