Data,Time,Date
"80 00 0B 10 11 25 10 25 00 00 00 00 10 25 10 25 00 00 00 00 8E C0 80 00 0B 04 56 43 56 00 80 C0 ",14:25:13,9/3/2019
No bytes available,14:25:13,9/3/2019
"80 00 0B 01 03 70 C0 AA 55 C0 80 00 0B 10 11 25 10 25 00 00 00 00 10 25 10 25 00 00 00 00 8E C0 80 00 0B 04 56 43 56 00 80 C0 ",14:26:6,9/3/2019
No bytes available,14:26:6,9/3/2019
