Data,Time,Date
"AA 55 C0 80 00 05 01 01 78 C0 80 00 05 01 00 79 C0 80 00 05 01 01 78 C0 80 00 05 01 00 79 C0 80 00 0B 04 F6 4B F6 20 17 C0 ",10:6:12,8/7/2019
No bytes available,10:6:12,8/7/2019
