Data,Time,Date
"80 00 0B 10 11 97 10 97 00 00 00 00 10 97 11 97 00 00 00 00 C3 C0 80 00 0B 04 56 43 56 0A 76 C0 ",13:3:48,9/23/2019
No bytes available,13:3:48,9/23/2019
