Data,Time,Date
"80 00 0B 04 36 23 36 C8 18 C0 80 00 0B 10 11 41 10 41 00 00 00 00 10 41 10 41 00 00 00 00 1E C0 ",10:51:46,8/19/2019
No bytes available,10:51:46,8/19/2019
