Data,Time,Date
"AA 55 C0 80 00 05 01 01 78 C0 80 00 05 01 00 79 C0 80 00 0B 04 36 23 36 08 D8 C0 80 00 0B 10 11 41 10 41 00 00 00 00 10 41 11 41 00 00 00 00 1D C0 80 00 0B 04 36 23 36 08 D8 C0 ",10:47:36,8/19/2019
No bytes available,10:47:36,8/19/2019
