Data,Time,Date
"AA 55 C0 80 00 0B 10 11 25 10 25 00 00 00 00 10 25 11 25 00 00 00 00 8D C0 80 00 0B 04 5E 4B 5E 20 48 C0 ",9:47:54,8/6/2019
No bytes available,9:47:54,8/6/2019
